W20260630 04:01:58 125597 py.warnings warnings.py:109] /home/ma-user/miniconda3/envs/dino/lib/python3.10/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)

W20260630 04:01:58 125597 py.warnings warnings.py:109] /home/ma-user/miniconda3/envs/dino/lib/python3.10/site-packages/timm/models/registry.py:4: FutureWarning: Importing from timm.models.registry is deprecated, please import via timm.models
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.models", FutureWarning)

I20260630 04:02:01 125597 uniflow.modeling_uniflow modeling_uniflow.py:769] Init pos_embed from sincos pos_embed
I20260630 04:02:09 125597 dinov2 run_knn_uniflow.py:118] Loaded UniFlow  params=452.6M  feature=cls  ckpt=/cache/ma-user/VTBenchLab/TokBench/tokenizer_modelzoo/uniflow/model.safetensors
I20260630 04:02:09 125597 dinov2 loaders.py:94] using dataset: "ImageNet:split=TRAIN:root=/cache/ma-user/VTBenchLab/data/imagenet1k:extra=/cache/ma-user/VTBenchLab/data/imagenet1k/extra"
I20260630 04:02:09 125597 dinov2 loaders.py:99] # of dataset samples: 1,281,167
I20260630 04:02:09 125597 dinov2 loaders.py:94] using dataset: "ImageNet:split=VAL:root=/cache/ma-user/VTBenchLab/data/imagenet1k:extra=/cache/ma-user/VTBenchLab/data/imagenet1k/extra"
I20260630 04:02:09 125597 dinov2 loaders.py:99] # of dataset samples: 50,000
I20260630 04:02:09 125597 dinov2 knn.py:260] Extracting features for train set...
I20260630 04:02:09 125597 dinov2 loaders.py:157] sampler: distributed
I20260630 04:02:09 125597 dinov2 loaders.py:216] using PyTorch data loader
I20260630 04:02:09 125597 dinov2 loaders.py:229] # of batches: 10,010
I20260630 04:02:20 125597 dinov2 utils.py:129] Storing features into tensor of shape torch.Size([1281167, 1024])
I20260630 04:02:20 125597 dinov2 helpers.py:102]   [    0/10010]  eta: 1 day, 5:25:56    time: 10.585039  data: 2.179964  max mem: 21524
I20260630 04:03:20 125597 dinov2 helpers.py:102]   [   10/10010]  eta: 17:51:29    time: 6.428947  data: 0.198605  max mem: 26539
I20260630 04:04:30 125597 dinov2 helpers.py:102]   [   20/10010]  eta: 18:35:47    time: 6.507226  data: 0.000460  max mem: 26539
I20260630 04:05:40 125597 dinov2 helpers.py:102]   [   30/10010]  eta: 18:50:59    time: 7.003400  data: 0.000451  max mem: 26539
I20260630 04:06:50 125597 dinov2 helpers.py:102]   [   40/10010]  eta: 18:58:11    time: 7.005313  data: 0.000471  max mem: 26539
I20260630 04:08:00 125597 dinov2 helpers.py:102]   [   50/10010]  eta: 19:02:05    time: 7.004837  data: 0.000485  max mem: 26539
I20260630 04:09:10 125597 dinov2 helpers.py:102]   [   60/10010]  eta: 19:04:18    time: 7.004406  data: 0.000469  max mem: 26539
I20260630 04:10:20 125597 dinov2 helpers.py:102]   [   70/10010]  eta: 19:05:32    time: 7.003105  data: 0.000450  max mem: 26539
I20260630 04:11:30 125597 dinov2 helpers.py:102]   [   80/10010]  eta: 19:06:11    time: 7.002790  data: 0.000451  max mem: 26539
