name,d,n_tokens,top1_share,part_ratio,eff_rank_e,r2_raw,r2_std,r2_krr,r2_lin_p,gap_scale,gap_nonlin,mknn,cka_txt
I-JEPA,1280,256,0.03790196024105432,129.9441055773208,303.38203561588824,0.24952610238931028,0.2470929854687769,0.2459293985187302,0.2334637423163337,-0.0024331169205333847,0.01246565620239648,0.05640970116933738,0.250264785111761
clip_openai__l14,1024,256,0.06705017959926295,69.79858128002728,208.5834455686753,0.2664377772107882,0.26712829554388806,0.2628823719662182,0.25149806092058813,0.0006905183330998543,0.011384311045630091,0.05812039844088349,0.2714751206728534
dino_vitb16,768,196,0.08968152377502696,61.518990765927846,215.75800176818592,0.18890962843854253,0.1899977396705863,0.19380786100773906,0.1761506557754109,0.0010881112320437758,0.017657205232328166,0.037527067994802946,0.18419784273271927
dino_vitb8,768,784,0.10261514034761962,53.75074234191196,208.31922110895346,0.20764819137621404,0.2093277630075595,0.2131113209925113,0.19466546189931588,0.0016795716313454667,0.018445859093195405,0.04239930705933305,0.18497935990377837
dino_vits16,384,196,0.13017249541441664,33.81703335201336,106.11132847844223,0.16370716296206622,0.1566453700162025,0.16734995480420134,0.14807393970322902,-0.007061792945863732,0.01927601510097232,0.03328280640970117,0.1649690304390538
dino_vits8,384,784,0.1306299512500662,32.825897315885676,116.38486963213865,0.18878692368470262,0.1847992020049053,0.1970351678268759,0.17287059064245414,-0.003987721679797329,0.024164577184421776,0.0402555218709398,0.15876232658251346
dinov2_base,768,256,0.05918000791119708,73.90076489228716,202.60762506912025,0.2811084283028238,0.28104371439221065,0.27929645269912406,0.27059147882132495,-6.471391061313447e-05,0.008704973877799116,0.06340407102641836,0.3407266310814713
dinov2_giant,1536,256,0.06488626394449128,77.68099293257642,250.6103809203402,0.2780218712996584,0.27436387957609343,0.27595533885300494,0.2644145972920514,-0.0036579917235649573,0.011540741560953527,0.061953226504980516,0.31980247346552354
dinov2_large,1024,256,0.08882552251341841,51.33822936421763,179.05721314512132,0.2844284164407953,0.2814074046029562,0.27956555256590065,0.2700914904254349,-0.0030210118378390938,0.009474062140465755,0.06407535729753139,0.3281416528761017
dinov2_small,384,256,0.07035566645814006,59.75625066744714,134.4760252319348,0.2674182159748375,0.2634477156672612,0.26281220543648587,0.2529653220565091,-0.003970500307576286,0.009846883379976745,0.05965786054569078,0.3253934513435213
dinov3,1024,256,0.04750098228400085,89.69449545972104,224.55371243544698,0.27529203743547015,0.27371216010828836,0.27415009415694336,0.26133602425493063,-0.001579877327181789,0.012814069902012726,0.062039844088349935,0.313222486609109
dinov3_vitb16,768,196,0.04967931689799989,87.04891513338872,209.44889575948545,0.27360896216412856,0.27374421760766376,0.270444213611599,0.2597906404457474,0.00013525544353520935,0.010653573165851582,0.06251624079688177,0.3180637551206225
dinov3_vitl16,1024,196,0.06473963372904551,65.39823631028219,181.18480179844912,0.27676601925652455,0.2749303947103984,0.27467951039457805,0.26179087170869564,-0.00183562454612618,0.012888638685882414,0.06219142485924644,0.3145053427935471
dinov3_vits16,384,196,0.07406576672302428,57.13101953367005,123.79598269953253,0.24815532250409655,0.2454300842742556,0.2472737023154632,0.234286047503662,-0.0027252382298409428,0.012987654811801197,0.05467734950194889,0.298049127701699
eupe_convnext_b,1024,64,0.11664706982520602,35.90903345969377,119.40801662172308,0.30465011323833857,0.30435357718778355,0.30097008477300047,0.2922132034393863,-0.0002965360505550185,0.008756881333614186,0.06773495019488956,0.3056418987241238
eupe_convnext_s,768,64,0.13766249923822307,28.381182707501434,92.51209699648358,0.29958489948188494,0.30115903418173584,0.29923096668335913,0.2910391468616599,0.0015741346998509043,0.008191819821699253,0.06656561281940233,0.30634971405284395
eupe_convnext_t,768,64,0.15092707708547634,24.796686360033846,83.75319561174848,0.2902589438608598,0.29157379439868947,0.28642058157650785,0.27884533192233907,0.0013148505378296482,0.007575249654168781,0.06366392377652663,0.29900123288028535
eupe_vit_b,768,256,0.11815659066927611,27.367407840113067,93.91434986450864,0.3060804280798335,0.3077900417672692,0.3016331107651329,0.29560160630126286,0.0017096136874357182,0.006031504463870019,0.06487656994369857,0.31120952449560085
eupe_vit_s,384,256,0.10099080048228963,36.17949390207546,90.46439169152956,0.292161956954646,0.29041983476792455,0.28892373633614776,0.2803501363256261,-0.0017421221867214287,0.008573600010521654,0.06580770896491987,0.33745069103651976
eupe_vit_t,192,256,0.12059737452973014,26.91040925622873,54.75543613228947,0.2520579318288746,0.2516123254338928,0.25200727061770667,0.24089802778810332,-0.0004456063949818123,0.01110924282960335,0.059354699003897796,0.31364875717811885
mc1_b16_224_2.5b,768,196,0.06167530879986347,62.89546755144045,160.0755378207759,0.2580644019640306,0.2605995394547591,0.2576312102721503,0.24582507676348375,0.002535137490728534,0.01180613350866655,0.05721091381550455,0.29912447677212867
